0.005,192.7
0.01,96.1
0.015,94.1
0.02,92.9
0.025,92.0
0.03,89.1
0.035,91.8
0.04,91.3
0.045,89.7
0.05,87.9
0.055,88.7
0.06,87.6
0.065,92.5
0.07,89.5
0.075,87.1
0.08,87.6
0.085,92.7
0.09,89.6
0.095,91.1
0.1,92.5
0.105,89.0
0.11,89.7
0.115,91.0
0.12,94.2
0.125,92.2
0.13,90.9
0.135,90.1
0.14,93.8
0.145,93.0
0.15,90.9
0.155,88.5
0.16,88.8
0.165,88.6
0.17,88.0
0.175,96.6
0.18,88.3
0.185,89.7
0.19,92.3
0.195,90.2
0.2,91.9
0.205,90.9
0.21,91.6
0.215,91.7
0.22,93.2
0.225,90.1
0.23,93.1
0.235,89.8
0.24,89.3
0.245,88.6
0.25,89.9
